n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
50,50,200,800.0,67,476,45,97.84,45,1.0,6,0,6,7,1,79,476,1,80.3,168.725,131.111,351.351,625.035,106.002,189.309,62.723,15.482,32.239,121.483,212.557,7.531,16.924,1.004,79.65,2.392,62.307,0.416,61.224,3.3745,2.12,0.1506,0.3385,0.0201,1.593,0.0478
50,50,200,800.0,68,409,45,96.48,45,1.0,1,0,1,6,5,107,409,1,59.9,146.353,127.207,227.589,768.0,110.258,155.366,36.095,12.037,31.943,122.295,178.828,7.203,13.26,0.633,57.853,1.595,35.813,0.282,65.81,2.9271,2.2052,0.1441,0.2652,0.0127,1.1571,0.0319
50,50,200,800.0,69,381,45,95.36,45,1.0,1,0,1,7,13,175,381,1,52.5,137.701,122.165,227.009,577.252,107.167,154.095,30.533,11.644,31.69,118.812,170.981,8.02,15.673,0.879,46.351,2.509,30.202,0.331,64.27,2.754,2.1433,0.1604,0.3135,0.0176,0.927,0.0502
50,50,200,800.0,70,766,45,99.95,45,1.0,15,0,15,6,1,84,766,1,193.7,252.887,224.846,471.103,798.942,93.992,143.231,158.895,20.347,31.891,114.339,168.069,9.159,11.975,0.75,177.907,1.415,158.574,0.322,51.681,5.0577,1.8798,0.1832,0.2395,0.015,3.5581,0.0283
50,50,200,800.0,71,1066,45,99.88,45,1.0,13,0,13,6,1,76,1066,1,496.3,465.567,348.535,1147.92,1481.162,89.108,146.134,376.459,25.426,32.974,114.534,175.938,5.057,7.733,0.258,398.925,12.62,366.261,10.197,40.974,9.3113,1.7822,0.1011,0.1547,0.0052,7.9785,0.2524
50,50,200,800.0,72,417,45,96.7,45,1.0,1,0,1,6,1,108,417,1,77.3,185.343,140.736,360.478,606.385,111.11,194.065,74.233,14.996,32.749,126.107,221.65,7.173,17.929,0.757,93.011,1.57,73.889,0.344,64.903,3.7069,2.2222,0.1435,0.3586,0.0151,1.8602,0.0314
50,50,200,800.0,73,530,45,99.47,45,1.0,7,0,7,7,1,83,530,1,120.6,227.576,162.616,510.301,847.754,105.219,163.64,122.358,21.238,32.806,126.457,195.058,8.28,13.481,0.927,143.913,2.418,122.075,0.283,58.557,4.5515,2.1044,0.1656,0.2696,0.0185,2.8783,0.0484
50,50,200,800.0,74,632,45,99.94,45,1.0,10,0,10,6,1,107,632,1,207.8,328.767,153.19,1020.86,1400.516,98.005,140.877,230.763,19.476,36.769,117.48,162.412,7.126,9.631,0.632,253.717,1.324,230.538,0.224,56.337,6.5753,1.9601,0.1425,0.1926,0.0126,5.0743,0.0265
50,50,200,800.0,75,592,45,99.88,45,1.0,10,0,10,7,4,87,592,1,166.1,280.527,221.651,503.391,937.36,110.596,164.13,169.931,24.341,33.406,134.938,189.06,7.36,8.909,0.554,206.059,1.119,169.754,0.177,56.525,5.6105,2.2119,0.1472,0.1782,0.0111,4.1212,0.0224
50,50,200,800.0,76,714,45,99.48,45,1.0,12,0,12,7,1,77,714,1,231.0,323.473,187.809,733.55,1023.397,95.848,163.502,227.625,18.917,32.047,114.765,175.505,7.355,14.812,0.703,248.485,2.158,227.235,0.39,49.96,6.4695,1.917,0.1471,0.2962,0.0141,4.9697,0.0432
